epoch,train_loss,test_psnr,test_ssim,best_psnr,best_ssim,best_epoch,is_best
1,0.22627635,8.382016,0.258517,8.382016,0.258517,1,1
2,0.08013954,22.443588,0.682153,22.443588,0.682153,2,1
3,0.02340653,20.807276,0.681427,22.443588,0.682153,2,0
4,0.02286519,20.904366,0.683999,22.443588,0.683999,2,0
5,0.02239066,20.995264,0.686493,22.443588,0.686493,2,0
6,0.02193338,21.102621,0.689383,22.443588,0.689383,2,0
7,0.02147363,21.18745,0.692233,22.443588,0.692233,2,0
8,0.0210238,21.302106,0.694847,22.443588,0.694847,2,0
9,0.0205851,21.399452,0.697661,22.443588,0.697661,2,0
10,0.02016638,21.508762,0.70048,22.443588,0.70048,2,0
11,0.01977596,21.595882,0.703051,22.443588,0.703051,2,0
12,0.01940147,21.685385,0.70581,22.443588,0.70581,2,0
13,0.01901667,21.777646,0.708397,22.443588,0.708397,2,0
14,0.01865434,21.884747,0.711175,22.443588,0.711175,2,0
15,0.01829188,21.984947,0.713722,22.443588,0.713722,2,0
16,0.01794043,22.060941,0.716358,22.443588,0.716358,2,0
17,0.0175971,22.189218,0.719016,22.443588,0.719016,2,0
18,0.01724582,22.287301,0.721498,22.443588,0.721498,2,0
19,0.01690281,22.393793,0.724224,22.443588,0.724224,2,0
20,0.01656948,22.461319,0.726669,22.461319,0.726669,20,1
21,0.01624956,22.585093,0.729241,22.585093,0.729241,21,1
22,0.01591961,22.664052,0.73163,22.664052,0.73163,22,1
23,0.01560574,22.776119,0.734298,22.776119,0.734298,23,1
24,0.01528723,22.86545,0.736805,22.86545,0.736805,24,1
25,0.01497719,22.992169,0.739328,22.992169,0.739328,25,1
26,0.01467305,23.105687,0.7418,23.105687,0.7418,26,1
27,0.01435879,23.203359,0.744318,23.203359,0.744318,27,1
28,0.01407483,23.327433,0.746901,23.327433,0.746901,28,1
29,0.01378045,23.424713,0.749451,23.424713,0.749451,29,1
30,0.01349553,23.544145,0.752353,23.544145,0.752353,30,1
31,0.01320033,23.683146,0.755359,23.683146,0.755359,31,1
32,0.01288613,23.780771,0.757877,23.780771,0.757877,32,1
33,0.01259557,23.906879,0.76003,23.906879,0.76003,33,1
34,0.01232062,24.00305,0.762266,24.00305,0.762266,34,1
35,0.01204607,24.109144,0.764531,24.109144,0.764531,35,1
36,0.01179049,24.211693,0.766645,24.211693,0.766645,36,1
37,0.01155662,24.320025,0.768785,24.320025,0.768785,37,1
38,0.01130809,24.402792,0.770682,24.402792,0.770682,38,1
39,0.01107708,24.508517,0.772735,24.508517,0.772735,39,1
40,0.01085133,24.605122,0.774743,24.605122,0.774743,40,1
41,0.01063067,24.682812,0.776621,24.682812,0.776621,41,1
42,0.01042419,24.774751,0.778587,24.774751,0.778587,42,1
43,0.01022121,24.86292,0.780428,24.86292,0.780428,43,1
44,0.0100204,24.935779,0.782159,24.935779,0.782159,44,1
45,0.00983197,25.026095,0.783969,25.026095,0.783969,45,1
46,0.0096507,25.111587,0.785747,25.111587,0.785747,46,1
47,0.0094738,25.187479,0.787355,25.187479,0.787355,47,1
48,0.00930361,25.267292,0.789011,25.267292,0.789011,48,1
49,0.00914188,25.336122,0.790548,25.336122,0.790548,49,1
50,0.00898736,25.417016,0.792114,25.417016,0.792114,50,1
51,0.00884421,25.467358,0.793411,25.467358,0.793411,51,1
52,0.00869845,25.543841,0.794935,25.543841,0.794935,52,1
53,0.00856164,25.608852,0.796249,25.608852,0.796249,53,1
54,0.00842775,25.676229,0.797638,25.676229,0.797638,54,1
55,0.00830478,25.740379,0.798898,25.740379,0.798898,55,1
56,0.00818581,25.819262,0.800208,25.819262,0.800208,56,1
57,0.00807327,25.874769,0.801382,25.874769,0.801382,57,1
58,0.00795943,25.934994,0.802581,25.934994,0.802581,58,1
59,0.007854,26.002903,0.803747,26.002903,0.803747,59,1
60,0.00775263,26.045198,0.804791,26.045198,0.804791,60,1
61,0.00765332,26.123859,0.805986,26.123859,0.805986,61,1
62,0.00756233,26.184955,0.807046,26.184955,0.807046,62,1
63,0.00746352,26.254209,0.808145,26.254209,0.808145,63,1
64,0.00738307,26.312177,0.809092,26.312177,0.809092,64,1
65,0.00729811,26.356377,0.810006,26.356377,0.810006,65,1
66,0.00721628,26.413739,0.810987,26.413739,0.810987,66,1
67,0.00713536,26.46766,0.811874,26.46766,0.811874,67,1
68,0.00705725,26.525226,0.812789,26.525226,0.812789,68,1
69,0.00698385,26.576496,0.813571,26.576496,0.813571,69,1
70,0.00691195,26.630689,0.814362,26.630689,0.814362,70,1
71,0.00684533,26.680148,0.815159,26.680148,0.815159,71,1
72,0.00677118,26.725479,0.815872,26.725479,0.815872,72,1
73,0.00670841,26.771137,0.816579,26.771137,0.816579,73,1
74,0.00664535,26.79009,0.817212,26.79009,0.817212,74,1
75,0.00657795,26.848168,0.817853,26.848168,0.817853,75,1
76,0.00651987,26.892088,0.818535,26.892088,0.818535,76,1
77,0.00645776,26.93478,0.819109,26.93478,0.819109,77,1
78,0.00639587,26.957313,0.819621,26.957313,0.819621,78,1
79,0.00634476,27.000877,0.820246,27.000877,0.820246,79,1
80,0.00628607,27.044501,0.82079,27.044501,0.82079,80,1
81,0.00623634,27.070746,0.821281,27.070746,0.821281,81,1
82,0.00618528,27.116481,0.8218,27.116481,0.8218,82,1
83,0.00612798,27.130884,0.822284,27.130884,0.822284,83,1
84,0.00607675,27.163922,0.822759,27.163922,0.822759,84,1
85,0.0060217,27.207796,0.823251,27.207796,0.823251,85,1
86,0.00597601,27.248588,0.823685,27.248588,0.823685,86,1
87,0.0059234,27.280004,0.824158,27.280004,0.824158,87,1
88,0.00587695,27.287962,0.824534,27.287962,0.824534,88,1
89,0.00583087,27.32595,0.824941,27.32595,0.824941,89,1
90,0.00577993,27.352773,0.82541,27.352773,0.82541,90,1
91,0.00573766,27.388844,0.825793,27.388844,0.825793,91,1
92,0.00569009,27.407247,0.826139,27.407247,0.826139,92,1
93,0.0056458,27.436964,0.826597,27.436964,0.826597,93,1
94,0.00560095,27.461079,0.826983,27.461079,0.826983,94,1
95,0.00555193,27.520018,0.827403,27.520018,0.827403,95,1
96,0.00550715,27.54399,0.827904,27.54399,0.827904,96,1
97,0.00546443,27.569479,0.828334,27.569479,0.828334,97,1
98,0.0054185,27.585913,0.828713,27.585913,0.828713,98,1
99,0.00537599,27.619068,0.829168,27.619068,0.829168,99,1
100,0.00533235,27.655358,0.829543,27.655358,0.829543,100,1
101,0.005289,27.689153,0.829955,27.689153,0.829955,101,1
102,0.00525126,27.71923,0.83047,27.71923,0.83047,102,1
103,0.00520623,27.736667,0.830892,27.736667,0.830892,103,1
104,0.00516834,27.783577,0.831347,27.783577,0.831347,104,1
105,0.00512582,27.788383,0.831641,27.788383,0.831641,105,1
106,0.00508717,27.813791,0.831941,27.813791,0.831941,106,1
107,0.00505277,27.823877,0.832225,27.823877,0.832225,107,1
108,0.00501496,27.845408,0.832477,27.845408,0.832477,108,1
109,0.00498125,27.85643,0.832776,27.85643,0.832776,109,1
110,0.00494288,27.873535,0.833019,27.873535,0.833019,110,1
111,0.00490728,27.913559,0.833278,27.913559,0.833278,111,1
112,0.00487606,27.913897,0.833579,27.913897,0.833579,112,1
113,0.00484009,27.936176,0.833808,27.936176,0.833808,113,1
114,0.00480291,27.949038,0.834054,27.949038,0.834054,114,1
115,0.00477202,27.977654,0.834287,27.977654,0.834287,115,1
116,0.0047429,27.99066,0.834572,27.99066,0.834572,116,1
117,0.00470759,28.026751,0.834822,28.026751,0.834822,117,1
118,0.00467586,28.034928,0.835011,28.034928,0.835011,118,1
119,0.00464519,28.05292,0.835306,28.05292,0.835306,119,1
120,0.00461486,28.077913,0.835514,28.077913,0.835514,120,1
121,0.00458098,28.079146,0.835732,28.079146,0.835732,121,1
122,0.00455097,28.100547,0.835919,28.100547,0.835919,122,1
123,0.00452511,28.124623,0.836205,28.124623,0.836205,123,1
124,0.00449162,28.146612,0.836393,28.146612,0.836393,124,1
125,0.00446198,28.163017,0.836611,28.163017,0.836611,125,1
126,0.00443668,28.18387,0.836813,28.18387,0.836813,126,1
127,0.00440426,28.196742,0.837073,28.196742,0.837073,127,1
128,0.00437759,28.208604,0.837243,28.208604,0.837243,128,1
129,0.0043528,28.219593,0.837448,28.219593,0.837448,129,1
130,0.00432435,28.244915,0.837629,28.244915,0.837629,130,1
131,0.00429827,28.2801,0.837915,28.2801,0.837915,131,1
132,0.00427078,28.287555,0.838102,28.287555,0.838102,132,1
133,0.00424454,28.303785,0.838276,28.303785,0.838276,133,1
134,0.00422108,28.323961,0.838471,28.323961,0.838471,134,1
135,0.00419519,28.335154,0.838663,28.335154,0.838663,135,1
136,0.00416972,28.352456,0.838913,28.352456,0.838913,136,1
137,0.00414122,28.365094,0.839077,28.365094,0.839077,137,1
138,0.00411947,28.391496,0.839282,28.391496,0.839282,138,1
139,0.00409803,28.410838,0.839476,28.410838,0.839476,139,1
140,0.00407424,28.422531,0.839663,28.422531,0.839663,140,1
141,0.00405197,28.426667,0.839853,28.426667,0.839853,141,1
142,0.00403117,28.449255,0.840044,28.449255,0.840044,142,1
143,0.00400569,28.458017,0.840237,28.458017,0.840237,143,1
144,0.00398186,28.47753,0.840432,28.47753,0.840432,144,1
145,0.00395907,28.503035,0.840636,28.503035,0.840636,145,1
